Frame,TopLeftCornerX,TopLeftCornerY,Length,Height,Color
1,333.5,391.5,17,12,Green
1,348.5,380.5,15,9,Green
1,431.5,331.5,23,9,Green
1,475.5,337.5,19,10,Green
1,513.5,304.5,46,25,Green
1,613.5,405.5,28,12,Green
1,546.5,269.5,154,72,Blue
2,37.5,386.5,32,21,Green
2,39.5,214.5,32,22,Green
2,66.5,382.5,20,15,Green
2,83.5,279.5,29,22,Green
2,129.5,393.5,33,14,Green
2,169.5,172.5,26,20,Green
2,342.5,176.5,19,17,Green
2,359.5,172.5,17,14,Green
2,390.5,188.5,39,14,Green
2,399.5,348.5,22,15,Green
2,406.5,353.5,65,34,Green
2,443.5,337.5,43,15,Green
2,519.5,162.5,36,15,Green
2,555.5,365.5,32,13,Green
2,595.5,153.5,27,16,Green
2,619.5,145.5,30,12,Green
2,685.5,235.5,30,18,Green
2,368.5,142.5,38,22,Blue
2,407.5,140.5,62,27,Blue
2,469.5,133.5,51,20,Blue
3,0.5,193.5,17,11,Green
3,8.5,211.5,41,18,Green
3,112.5,176.5,13,13,Green
3,129.5,359.5,15,13,Green
3,140.5,401.5,20,12,Green
3,145.5,352.5,33,13,Green
3,157.5,369.5,32,9,Green
3,224.5,474.5,24,9,Green
3,230.5,489.5,40,13,Green
3,292.5,171.5,27,22,Green
3,471.5,367.5,20,10,Green
3,617.5,111.5,27,17,Green
3,96.5,449.5,51,38,Blue
3,125.5,137.5,96,63,Blue
3,146.5,453.5,56,49,Blue
3,220.5,170.5,30,32,Blue
4,156.5,520.5,59,13,Green
4,227.5,473.5,21,12,Green
4,381.5,465.5,32,8,Green
4,484.5,451.5,48,19,Green
4,549.5,437.5,30,15,Green
4,577.5,529.5,42,19,Green
4,643.5,407.5,20,12,Green
4,759.5,483.5,18,21,Green
4,0.5,524.5,45,21,Blue
4,31.5,489.5,80,37,Blue
4,59.5,426.5,59,27,Blue
4,438.5,538.5,100,33,Blue
4,472.5,466.5,143,56,Blue
4,686.5,493.5,41,38,Blue
5,227.5,468.5,28,15,Green
5,325.5,531.5,53,28,Green
5,358.5,442.5,31,9,Green
5,498.5,534.5,39,23,Green
5,250.5,439.5,46,22,Blue
5,421.5,452.5,67,34,Blue
6,0.5,102.5,33,35,Green
6,31.5,108.5,51,23,Green
6,56.5,135.5,27,16,Green
6,70.5,166.5,41,29,Green
6,84.5,112.5,101,17,Green
6,103.5,131.5,29,28,Green
6,133.5,151.5,19,19,Green
6,240.5,123.5,20,14,Green
6,622.5,212.5,64,29,Green
6,282.5,195.5,154,46,Blue
7,344.5,386.5,25,14,Green
7,623.5,399.5,29,13,Green
7,565.5,265.5,135,70,Blue
8,101.5,488.5,36,10,Green
8,354.5,411.5,15,5,Green
8,361.5,488.5,26,12,Green
8,379.5,457.5,10,8,Green
8,513.5,409.5,17,10,Green
8,561.5,494.5,19,14,Green
8,566.5,511.5,21,10,Green
8,671.5,562.5,21,7,Green
8,707.5,389.5,14,6,Green
9,67.5,99.5,58,30,Blue
9,231.5,107.5,51,25,Blue
9,370.5,136.5,54,23,Blue
9,455.5,86.5,157,53,Blue
9,613.5,109.5,59,25,Blue
9,675.5,117.5,102,20,Blue
10,50.5,174.5,45,26,Green
10,84.5,137.5,35,29,Green
10,606.5,219.5,61,27,Green
10,266.5,200.5,153,46,Blue
11,24.5,218.5,66,28,Green
11,169.5,161.5,45,19,Green
11,265.5,423.5,49,22,Green
11,591.5,185.5,27,12,Green
11,609.5,204.5,38,19,Green
11,675.5,450.5,50,36,Blue
11,724.5,455.5,53,56,Blue
11,725.5,146.5,52,50,Blue
12,81.5,549.5,26,16,Green
12,98.5,527.5,19,14,Green
12,117.5,533.5,19,16,Green
12,190.5,543.5,14,8,Green
12,196.5,552.5,15,10,Green
12,206.5,389.5,25,11,Green
12,210.5,472.5,26,17,Green
12,316.5,495.5,25,15,Green
12,10.5,497.5,40,38,Blue
12,81.5,484.5,34,21,Blue
12,232.5,443.5,44,22,Blue
12,310.5,535.5,50,28,Blue
12,405.5,455.5,69,35,Blue
12,479.5,537.5,47,23,Blue
13,132.5,321.5,51,22,Green
13,578.5,529.5,65,33,Green
13,670.5,545.5,74,26,Green
13,0.5,272.5,88,71,Blue
14,480.5,557.5,33,14,Green
14,617.5,518.5,43,23,Green
14,643.5,486.5,81,37,Blue
14,672.5,424.5,59,26,Blue
15,98.5,472.5,30,20,Green
15,221.5,377.5,27,10,Green
15,224.5,460.5,29,15,Green
15,324.5,523.5,52,28,Green
15,355.5,429.5,31,12,Green
15,420.5,489.5,14,14,Green
15,494.5,475.5,12,13,Green
15,496.5,523.5,40,25,Green
15,24.5,488.5,42,31,Blue
15,248.5,431.5,44,22,Blue
15,420.5,444.5,69,33,Blue
16,18.5,513.5,46,19,Green
16,295.5,368.5,26,9,Green
16,396.5,453.5,35,10,Green
16,501.5,439.5,30,15,Green
16,659.5,396.5,22,11,Green
16,735.5,486.5,17,10,Green
16,45.5,477.5,82,36,Blue
16,76.5,417.5,60,23,Blue
16,454.5,526.5,102,45,Blue
16,487.5,453.5,143,54,Blue
16,565.5,424.5,33,16,Blue
16,705.5,484.5,39,33,Blue
17,65.5,342.5,13,7,Green
17,122.5,461.5,37,12,Blue
18,90.5,319.5,16,13,Green
18,310.5,500.5,19,11,Green
18,361.5,480.5,29,17,Green
18,688.5,329.5,22,6,Green
19,191.5,366.5,31,15,Green
19,266.5,354.5,21,15,Green
19,296.5,518.5,39,18,Green
19,318.5,380.5,38,23,Green
19,335.5,390.5,49,25,Green
19,347.5,488.5,25,13,Green
19,463.5,530.5,36,18,Green
19,507.5,399.5,19,11,Green
19,523.5,357.5,34,13,Green
19,618.5,377.5,19,12,Green
19,693.5,350.5,19,13,Green
19,481.5,499.5,56,26,Blue
20,241.5,412.5,36,13,Green
20,492.5,545.5,39,20,Green
20,631.5,507.5,44,15,Green
20,655.5,475.5,84,36,Blue
20,685.5,412.5,57,26,Blue
21,0.5,521.5,75,50,Green
21,254.5,365.5,24,8,Green
21,419.5,374.5,31,16,Green
21,454.5,373.5,27,8,Green
21,509.5,380.5,40,18,Green
21,548.5,396.5,19,13,Green
22,16.5,0.5,61,27,Green
22,171.5,3.5,39,14,Green
22,754.5,96.5,23,25,Green
22,450.5,23.5,103,46,Blue
